feature,importance
Glucose,0.2614773174403347
BMI,0.1774802714581033
Age,0.1394458703684195
DiabetesPedigreeFunction,0.12042027209611104
BloodPressure,0.08589168408748464
Pregnancies,0.07921396074247879
Insulin,0.06935591117081474
SkinThickness,0.06671471263625339
