feature,importance
smoker_no,0.3636647918659254
smoker_yes,0.2569807385163581
bmi,0.20651355991841489
age,0.12956971107630266
children,0.01892954142468645
region_northeast,0.005155271108925356
region_northwest,0.005014748690481795
region_southeast,0.0040289611915621994
sex_male,0.0035278897223128282
sex_female,0.003376622373842319
region_southwest,0.0032381641111880054
